MemberID,Team,Gender,Age,PA1,PA2,PA3,PA4,PA5,PA6,PA7,PA8,PA9,PA10,NA1,NA2,NA3,NA4,NA5,NA6,NA7,NA8,NA9,NA10,PsyS1,PsyS2,PsyS3,PsyS4
2,EH,1,29,7,6,4,6,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,7,7,7,7
3,EH,2,22,6,5,4,5,5,5,5,5,5,6,4,4,4,2,2,2,2,6,3,2,7,7,7,7
1,EI,2,22,5,4,5,4,4,4,4,3,6,6,3,3,2,2,3,3,2,2,2,2,7,5,7,7
2,EI,1,22,3,2,4,5,2,2,3,3,5,4,4,5,3,2,2,3,2,5,4,5,7,7,7,7
3,EI,1,22,7,6,6,7,5,6,7,7,7,7,5,3,1,4,1,1,1,6,4,3,7,7,7,7
4,EI,1,25,6,4,4,5,4,3,4,4,6,5,3,2,1,1,1,1,2,3,4,2,7,7,7,7
1,EJ,1,25,6,3,4,6,3,2,4,4,5,5,3,3,1,1,1,1,1,1,3,2,1,7,6,7
2,EJ,2,21,4,4,5,5,4,3,5,4,4,6,4,3,3,2,4,2,2,4,3,2,7,4,5,6
3,EJ,1,29,5,4,4,4,5,4,5,4,4,4,3,4,1,2,2,4,1,5,4,1,7,7,6,7
1,EK,1,22,4,4,4,3,2,3,3,3,4,4,3,3,3,5,2,3,2,5,3,5,5,5,5,5
2,EK,2,24,6,3,1,5,4,1,5,5,5,5,4,1,1,1,1,1,1,1,2,1,7,7,7,7
3,EK,2,20,3,2,2,2,2,2,2,5,5,2,2,2,2,2,2,2,2,4,2,2,6,7,6,7
1,EL,2,25,6,5,5,5,5,5,5,5,4,6,5,4,2,2,2,2,2,2,2,2,2,6,6,6
2,EL,2,22,6,5,6,6,2,6,7,7,6,6,2,2,2,1,5,1,1,5,1,1,7,4,6,6
3,EL,2,18,7,5,4,5,6,4,5,4,5,4,2,2,2,2,1,2,2,2,2,2,6,6,5,6
1,EM,1,25,4,1,4,3,4,5,4,4,4,4,1,6,1,1,1,4,1,1,4,2,7,6,6,6
2,EM,2,19,7,4,4,4,7,2,7,5,7,7,5,5,5,1,1,1,5,2,2,2,7,7,6,6
3,EM,1,24,3,4,3,4,4,4,2,4,5,4,7,6,2,1,1,1,2,1,4,2,4,2,7,7
